case_id,statute,offense_category,penalty,imprisonment_duration_served,risk_of_escape,risk_of_influence,surety_bond_required,personal_bond_required,fines_applicable,served_half_term,bail_eligibility,risk_score,penalty_severity
1,NDPS,Crimes Against Children,Fine,50,False,False,True,False,True,False,False,0,50
2,SCST Act,Crimes Against Children,Both,117,False,False,True,True,True,False,False,0,351
3,PMLA,Crimes Against Children,Fine,68,False,False,False,False,True,False,False,0,68
4,SCST Act,Crimes Against Children,Both,106,False,False,False,False,True,True,True,1,318
5,SCST Act,Offences Against the State,Imprisonment,71,False,False,False,True,True,False,False,0,142
6,CrPC,Offences Against the State,Imprisonment,86,False,True,True,True,False,False,False,1,172
7,PMLA,Crimes Against Foreigners,Both,119,False,True,True,False,False,True,False,2,357
8,PMLA,Crimes Against SCs and STs,Imprisonment,33,False,False,False,False,False,False,False,0,66
9,PMLA,Cyber Crime,Imprisonment,81,False,True,True,True,True,False,False,1,162
10,SCST Act,Crimes Against Children,Imprisonment,24,False,True,True,False,True,False,False,1,48
11,NDPS,Crimes Against Foreigners,Imprisonment,61,False,True,False,True,True,False,False,1,122
12,PMLA,Crimes Against SCs and STs,Both,61,False,False,False,False,False,False,False,0,183
13,SCST Act,Cyber Crime,Fine,98,False,True,False,False,True,True,False,2,98
14,CrPC,Economic Offence,Fine,28,False,True,True,True,True,True,False,2,28
15,NDPS,Crimes Against Women,Imprisonment,58,False,True,True,True,False,True,False,2,116
16,CrPC,Offences Against the State,Fine,43,False,False,True,True,True,False,False,0,43
17,NDPS,Economic Offence,Fine,41,True,True,True,False,False,True,False,3,41
18,SCST Act,Cyber Crime,Imprisonment,39,False,True,True,False,False,False,False,1,78
19,IPC,Economic Offence,Imprisonment,86,True,False,False,False,True,False,False,1,172
20,NDPS,Crimes Against Women,Fine,49,False,False,True,False,False,False,False,0,49
21,CrPC,Crimes Against Foreigners,Both,17,False,True,True,True,True,True,False,2,51
22,SCST Act,Cyber Crime,Imprisonment,98,True,True,True,False,False,True,False,3,196
23,NDPS,Economic Offence,Both,70,False,False,False,False,True,True,True,1,210
24,IPC,Offences Against the State,Fine,110,True,False,False,False,False,False,False,1,110
25,IPC,Offences Against the State,Imprisonment,70,True,False,False,True,True,True,False,2,140
26,PMLA,Crimes Against SCs and STs,Both,98,True,False,True,False,False,False,False,1,294
27,PMLA,Economic Offence,Imprisonment,65,False,False,False,False,False,True,True,1,130
28,CrPC,Crimes Against Children,Fine,74,False,False,False,True,False,True,True,1,74
29,NDPS,Economic Offence,Both,85,False,False,False,False,True,False,False,0,255
30,NDPS,Crimes Against Foreigners,Fine,5,True,True,True,False,True,False,False,2,5
31,PMLA,Cyber Crime,Fine,2,True,False,False,True,False,True,False,2,2
32,NDPS,Cyber Crime,Imprisonment,22,False,False,True,False,True,True,True,1,44
33,NDPS,Crimes Against Foreigners,Both,112,False,True,True,False,False,True,False,2,336
34,IPC,Economic Offence,Fine,57,False,False,False,False,True,False,False,0,57
35,PMLA,Crimes Against Foreigners,Fine,66,False,False,True,True,False,False,False,0,66
36,SCST Act,Crimes Against Women,Both,74,False,True,False,False,True,True,False,2,222
37,PMLA,Crimes Against Foreigners,Fine,98,True,False,True,False,False,True,False,2,98
38,SCST Act,Offences Against the State,Fine,16,True,True,False,True,False,False,False,2,16
39,IPC,Crimes Against Foreigners,Both,112,True,True,False,True,False,True,False,3,336
40,CrPC,Cyber Crime,Both,51,False,True,False,False,False,False,False,1,153
41,NDPS,Offences Against the State,Both,39,True,True,True,False,True,False,False,2,117
42,IPC,Cyber Crime,Both,86,True,False,False,False,False,False,False,1,258
43,NDPS,Crimes Against SCs and STs,Imprisonment,76,True,True,True,False,True,False,False,2,152
44,CrPC,Crimes Against Children,Both,88,True,True,False,True,True,False,False,2,264
45,CrPC,Cyber Crime,Imprisonment,111,True,False,True,False,False,False,False,1,222
46,IPC,Offences Against the State,Imprisonment,40,False,True,True,True,True,True,False,2,80
47,CrPC,Crimes Against SCs and STs,Imprisonment,38,True,True,False,True,True,False,False,2,76
48,SCST Act,Cyber Crime,Fine,60,False,True,False,False,True,False,False,1,60
49,CrPC,Crimes Against Women,Imprisonment,59,False,True,False,False,False,True,False,2,118
50,NDPS,Crimes Against Foreigners,Imprisonment,10,False,False,False,True,True,False,False,0,20
51,NDPS,Crimes Against Children,Fine,99,False,True,False,True,True,True,False,2,99
52,NDPS,Cyber Crime,Fine,64,False,False,True,False,False,False,False,0,64
53,NDPS,Crimes Against SCs and STs,Fine,115,True,False,False,True,False,True,False,2,115
54,SCST Act,Crimes Against Women,Both,63,True,True,False,False,True,True,False,3,189
55,PMLA,Economic Offence,Fine,49,False,True,True,False,False,False,False,1,49
56,IPC,Crimes Against SCs and STs,Fine,64,False,True,False,True,True,False,False,1,64
57,NDPS,Crimes Against Foreigners,Imprisonment,32,False,True,False,True,True,False,False,1,64
58,CrPC,Crimes Against SCs and STs,Fine,7,True,False,True,False,True,False,False,1,7
59,NDPS,Crimes Against Women,Both,21,False,False,False,True,False,True,True,1,63
60,CrPC,Crimes Against SCs and STs,Fine,20,True,False,False,False,True,True,False,2,20
61,CrPC,Crimes Against Women,Both,26,False,True,False,False,False,True,False,2,78
62,NDPS,Cyber Crime,Fine,68,True,False,True,False,False,False,False,1,68
63,SCST Act,Crimes Against Women,Fine,110,False,True,False,True,True,True,False,2,110
64,CrPC,Crimes Against Women,Fine,116,True,True,True,False,False,False,False,2,116
65,CrPC,Crimes Against Children,Fine,86,False,True,False,False,False,False,False,1,86
66,NDPS,Crimes Against Women,Both,15,True,True,True,False,False,True,False,3,45
67,CrPC,Crimes Against Women,Both,104,True,True,False,False,False,False,False,2,312
68,CrPC,Economic Offence,Imprisonment,85,True,False,True,False,False,True,False,2,170
69,NDPS,Cyber Crime,Both,79,True,False,True,False,True,False,False,1,237
70,NDPS,Crimes Against Foreigners,Fine,86,True,True,True,False,False,True,False,3,86
71,IPC,Crimes Against Children,Imprisonment,116,True,False,True,False,True,False,False,1,232
72,SCST Act,Economic Offence,Imprisonment,92,True,True,True,False,True,True,False,3,184
73,SCST Act,Offences Against the State,Imprisonment,14,False,True,True,False,True,True,False,2,28
74,CrPC,Cyber Crime,Fine,27,False,True,False,False,True,False,False,1,27
75,SCST Act,Cyber Crime,Both,105,False,False,False,True,True,False,False,0,315
76,CrPC,Offences Against the State,Fine,40,False,True,True,False,True,True,False,2,40
77,IPC,Crimes Against Foreigners,Imprisonment,58,False,True,True,False,False,False,False,1,116
78,NDPS,Crimes Against Women,Fine,28,True,False,True,False,False,False,False,1,28
79,NDPS,Economic Offence,Fine,26,True,False,True,True,False,False,False,1,26
80,NDPS,Crimes Against SCs and STs,Both,113,True,False,False,False,True,True,False,2,339
81,SCST Act,Crimes Against Children,Both,63,True,True,True,True,False,True,False,3,189
82,IPC,Crimes Against SCs and STs,Imprisonment,66,True,True,False,False,False,False,False,2,132
83,SCST Act,Offences Against the State,Fine,25,False,False,False,False,False,False,False,0,25
84,SCST Act,Cyber Crime,Fine,3,False,True,True,True,True,True,False,2,3
85,IPC,Crimes Against Foreigners,Both,72,False,False,True,False,False,False,False,0,216
86,IPC,Cyber Crime,Fine,44,False,False,False,True,True,True,True,1,44
87,IPC,Crimes Against Children,Fine,97,True,True,False,True,False,False,False,2,97
88,IPC,Cyber Crime,Fine,42,True,True,True,False,True,False,False,2,42
89,NDPS,Cyber Crime,Both,116,True,False,True,False,True,False,False,1,348
90,PMLA,Crimes Against Children,Imprisonment,99,False,False,True,False,True,True,True,1,198
91,PMLA,Economic Offence,Imprisonment,6,True,False,False,False,False,True,False,2,12
92,IPC,Economic Offence,Fine,39,False,False,False,True,False,True,True,1,39
93,PMLA,Crimes Against Children,Imprisonment,52,True,True,True,True,True,True,False,3,104
94,PMLA,Crimes Against Foreigners,Both,23,True,False,False,False,False,False,False,1,69
95,IPC,Offences Against the State,Both,89,False,False,False,True,True,False,False,0,267
96,PMLA,Cyber Crime,Imprisonment,50,True,False,True,True,True,True,False,2,100
97,SCST Act,Crimes Against Foreigners,Imprisonment,43,True,True,True,False,False,False,False,2,86
98,CrPC,Cyber Crime,Fine,19,False,True,False,True,False,False,False,1,19
99,CrPC,Offences Against the State,Imprisonment,69,True,False,False,True,False,True,False,2,138
100,IPC,Economic Offence,Fine,51,False,True,True,False,True,False,False,1,51
101,NDPS,Crimes Against Foreigners,Fine,11,True,True,True,True,True,False,False,2,11
102,IPC,Crimes Against Women,Both,12,True,True,True,False,False,True,False,3,36
103,NDPS,Crimes Against Women,Both,74,True,False,True,True,True,False,False,1,222
104,CrPC,Crimes Against Women,Both,8,True,False,True,False,False,False,False,1,24
105,IPC,Economic Offence,Both,24,True,True,False,True,True,False,False,2,72
106,SCST Act,Economic Offence,Imprisonment,92,True,False,False,True,False,True,False,2,184
107,PMLA,Offences Against the State,Both,41,True,False,False,False,False,True,False,2,123
108,NDPS,Cyber Crime,Imprisonment,36,True,True,False,False,True,False,False,2,72
109,PMLA,Offences Against the State,Both,101,False,True,True,False,False,False,False,1,303
110,PMLA,Offences Against the State,Imprisonment,85,False,False,True,False,False,False,False,0,170
111,IPC,Economic Offence,Fine,72,True,True,True,True,True,True,False,3,72
112,PMLA,Crimes Against Women,Imprisonment,55,True,False,False,True,False,True,False,2,110
113,SCST Act,Crimes Against SCs and STs,Imprisonment,9,False,False,False,True,True,True,True,1,18
114,PMLA,Cyber Crime,Both,47,True,True,False,False,False,False,False,2,141
115,IPC,Economic Offence,Imprisonment,15,True,False,True,True,True,False,False,1,30
116,SCST Act,Crimes Against Women,Fine,48,False,False,False,True,False,False,False,0,48
117,CrPC,Crimes Against Foreigners,Fine,110,True,True,True,False,False,False,False,2,110
118,PMLA,Crimes Against SCs and STs,Both,104,True,True,True,False,False,False,False,2,312
119,IPC,Crimes Against SCs and STs,Fine,82,False,True,True,True,False,True,False,2,82
120,CrPC,Economic Offence,Imprisonment,42,True,False,True,False,True,False,False,1,84
121,CrPC,Crimes Against Children,Fine,60,True,True,True,True,True,False,False,2,60
122,NDPS,Cyber Crime,Both,84,False,True,True,True,True,False,False,1,252
123,SCST Act,Crimes Against SCs and STs,Imprisonment,70,True,True,False,False,True,True,False,3,140
124,PMLA,Economic Offence,Both,12,False,True,True,True,True,False,False,1,36
125,IPC,Economic Offence,Imprisonment,2,True,False,True,False,True,True,False,2,4
126,NDPS,Crimes Against Women,Fine,7,True,False,False,False,True,True,False,2,7
127,SCST Act,Crimes Against Foreigners,Both,80,False,True,True,True,False,True,False,2,240
128,NDPS,Crimes Against Children,Both,3,False,False,False,True,False,True,True,1,9
129,SCST Act,Cyber Crime,Imprisonment,109,True,True,False,True,False,True,False,3,218
130,SCST Act,Offences Against the State,Both,3,False,True,False,False,False,False,False,1,9
131,PMLA,Crimes Against Foreigners,Imprisonment,27,False,False,True,True,True,False,False,0,54
132,SCST Act,Crimes Against Foreigners,Imprisonment,114,True,False,True,False,True,True,False,2,228
133,NDPS,Crimes Against Women,Imprisonment,107,True,True,False,False,True,True,False,3,214
134,SCST Act,Crimes Against SCs and STs,Imprisonment,40,True,True,True,True,False,True,False,3,80
135,PMLA,Crimes Against SCs and STs,Fine,102,False,False,True,False,True,False,False,0,102
136,PMLA,Crimes Against Women,Imprisonment,33,False,True,False,True,False,False,False,1,66
137,NDPS,Economic Offence,Both,92,False,False,False,True,True,True,True,1,276
138,CrPC,Crimes Against SCs and STs,Fine,1,False,True,True,True,True,False,False,1,1
139,CrPC,Crimes Against Children,Both,119,True,True,False,True,True,False,False,2,357
140,SCST Act,Cyber Crime,Fine,8,False,False,False,True,True,True,True,1,8
141,IPC,Crimes Against Foreigners,Imprisonment,101,True,False,False,True,False,True,False,2,202
142,SCST Act,Crimes Against Foreigners,Fine,32,False,False,True,True,False,False,False,0,32
143,NDPS,Crimes Against Children,Fine,48,True,False,True,False,True,False,False,1,48
144,NDPS,Crimes Against SCs and STs,Both,107,True,False,True,True,False,False,False,1,321
145,NDPS,Crimes Against Foreigners,Both,101,True,False,False,False,True,True,False,2,303
146,NDPS,Offences Against the State,Imprisonment,4,False,False,True,False,True,True,True,1,8
147,NDPS,Cyber Crime,Fine,94,True,True,False,False,True,True,False,3,94
148,PMLA,Cyber Crime,Fine,70,True,True,True,True,True,False,False,2,70
149,CrPC,Crimes Against Foreigners,Fine,110,False,True,True,False,False,False,False,1,110
150,NDPS,Crimes Against Women,Imprisonment,118,True,False,False,False,True,True,False,2,236
151,IPC,Crimes Against Foreigners,Imprisonment,19,False,False,True,True,True,False,False,0,38
152,IPC,Crimes Against Women,Imprisonment,32,False,False,False,True,False,True,True,1,64
153,IPC,Crimes Against Foreigners,Imprisonment,9,True,True,True,False,True,False,False,2,18
154,IPC,Offences Against the State,Imprisonment,12,True,False,True,True,False,True,False,2,24
155,PMLA,Economic Offence,Both,11,False,False,False,True,True,False,False,0,33
156,IPC,Cyber Crime,Fine,46,True,True,False,True,True,False,False,2,46
157,NDPS,Crimes Against Foreigners,Fine,119,False,False,False,True,True,True,True,1,119
158,SCST Act,Offences Against the State,Fine,16,False,True,True,False,True,True,False,2,16
159,IPC,Crimes Against Women,Fine,1,False,True,True,True,True,True,False,2,1
160,PMLA,Crimes Against Women,Fine,63,True,False,True,True,True,True,False,2,63
161,PMLA,Cyber Crime,Fine,109,False,False,False,True,False,True,True,1,109
162,IPC,Crimes Against Children,Fine,119,True,False,False,False,True,False,False,1,119
163,SCST Act,Crimes Against Foreigners,Fine,117,True,True,False,False,False,True,False,3,117
164,IPC,Crimes Against SCs and STs,Both,21,True,True,True,True,False,True,False,3,63
165,PMLA,Crimes Against Women,Fine,30,True,True,True,True,True,True,False,3,30
166,CrPC,Economic Offence,Both,13,False,False,False,False,False,True,True,1,39
167,NDPS,Economic Offence,Imprisonment,34,True,False,True,True,True,True,False,2,68
168,PMLA,Crimes Against Women,Fine,4,False,False,False,True,False,False,False,0,4
169,IPC,Crimes Against Children,Imprisonment,28,False,False,True,False,True,True,True,1,56
170,NDPS,Crimes Against Children,Imprisonment,102,True,True,True,True,False,True,False,3,204
171,IPC,Offences Against the State,Imprisonment,95,False,True,False,True,False,True,False,2,190
172,IPC,Economic Offence,Both,59,False,True,True,False,True,False,False,1,177
173,CrPC,Offences Against the State,Imprisonment,119,True,True,True,False,False,False,False,2,238
174,NDPS,Economic Offence,Imprisonment,27,False,False,False,True,True,True,True,1,54
175,NDPS,Crimes Against Foreigners,Imprisonment,69,False,False,False,False,True,True,True,1,138
176,CrPC,Crimes Against Foreigners,Fine,25,False,False,True,True,True,False,False,0,25
177,PMLA,Crimes Against SCs and STs,Fine,3,False,True,False,True,True,False,False,1,3
178,IPC,Crimes Against Foreigners,Both,97,True,True,True,True,True,False,False,2,291
179,SCST Act,Crimes Against SCs and STs,Both,68,False,False,False,False,False,True,True,1,204
180,IPC,Crimes Against Foreigners,Fine,25,False,False,True,False,False,True,True,1,25
181,IPC,Cyber Crime,Both,20,False,True,True,True,False,False,False,1,60
182,PMLA,Crimes Against Foreigners,Fine,34,False,False,False,True,True,True,True,1,34
183,IPC,Offences Against the State,Imprisonment,26,True,True,True,False,False,False,False,2,52
184,CrPC,Crimes Against Women,Imprisonment,5,False,True,True,False,False,False,False,1,10
185,CrPC,Offences Against the State,Both,99,True,True,False,False,False,False,False,2,297
186,NDPS,Crimes Against Women,Fine,61,False,False,False,True,False,True,True,1,61
187,SCST Act,Crimes Against Children,Fine,92,True,False,True,False,False,False,False,1,92
188,IPC,Offences Against the State,Both,93,True,True,False,False,True,False,False,2,279
189,IPC,Crimes Against Children,Fine,9,True,False,False,True,True,True,False,2,9
190,PMLA,Crimes Against SCs and STs,Imprisonment,116,True,True,True,True,False,False,False,2,232
191,CrPC,Crimes Against SCs and STs,Both,102,True,True,True,True,True,True,False,3,306
192,SCST Act,Cyber Crime,Both,50,False,True,False,False,True,False,False,1,150
193,NDPS,Crimes Against Foreigners,Fine,6,False,True,False,True,False,True,False,2,6
194,CrPC,Offences Against the State,Both,83,False,False,False,True,False,False,False,0,249
195,NDPS,Crimes Against Children,Fine,60,True,True,True,True,True,False,False,2,60
196,PMLA,Crimes Against Women,Fine,44,False,True,True,True,False,False,False,1,44
197,PMLA,Crimes Against SCs and STs,Fine,11,True,False,True,False,True,False,False,1,11
198,IPC,Crimes Against Foreigners,Fine,66,True,True,True,True,True,False,False,2,66
199,SCST Act,Crimes Against SCs and STs,Fine,47,False,True,True,False,False,True,False,2,47
200,NDPS,Crimes Against Women,Both,108,False,False,True,False,True,True,True,1,324
201,CrPC,Crimes Against Foreigners,Imprisonment,108,True,False,True,False,True,False,False,1,216
202,PMLA,Crimes Against Foreigners,Imprisonment,73,True,False,False,True,True,False,False,1,146
203,IPC,Crimes Against Children,Both,85,False,True,False,False,False,False,False,1,255
204,IPC,Crimes Against Children,Both,88,False,False,True,True,False,True,True,1,264
205,NDPS,Offences Against the State,Imprisonment,98,False,False,True,True,False,True,True,1,196
206,PMLA,Offences Against the State,Imprisonment,86,False,True,True,True,False,False,False,1,172
207,SCST Act,Economic Offence,Imprisonment,3,True,True,False,False,True,True,False,3,6
208,PMLA,Economic Offence,Imprisonment,76,False,True,True,True,False,False,False,1,152
209,NDPS,Cyber Crime,Imprisonment,92,False,True,False,True,False,False,False,1,184
210,NDPS,Crimes Against SCs and STs,Fine,30,False,True,False,True,False,False,False,1,30
211,PMLA,Offences Against the State,Both,90,True,False,False,False,False,True,False,2,270
212,NDPS,Crimes Against Children,Fine,112,True,False,False,False,True,False,False,1,112
213,PMLA,Crimes Against Women,Imprisonment,21,True,False,False,False,True,False,False,1,42
214,CrPC,Crimes Against Children,Imprisonment,28,True,True,True,True,True,False,False,2,56
215,PMLA,Crimes Against SCs and STs,Imprisonment,90,False,True,True,False,False,True,False,2,180
216,PMLA,Economic Offence,Fine,62,True,True,False,True,False,True,False,3,62
217,NDPS,Crimes Against Children,Fine,33,False,False,True,True,True,True,True,1,33
218,NDPS,Cyber Crime,Imprisonment,85,False,False,False,False,False,False,False,0,170
219,IPC,Crimes Against SCs and STs,Fine,35,False,True,False,True,False,True,False,2,35
220,IPC,Economic Offence,Fine,52,False,False,True,False,True,False,False,0,52
221,CrPC,Crimes Against Women,Imprisonment,34,True,True,True,True,True,True,False,3,68
222,IPC,Economic Offence,Fine,41,True,False,True,False,False,False,False,1,41
223,PMLA,Crimes Against Foreigners,Both,51,True,False,True,True,False,True,False,2,153
224,NDPS,Cyber Crime,Both,47,False,False,True,True,False,False,False,0,141
225,IPC,Crimes Against SCs and STs,Both,82,False,True,False,True,True,True,False,2,246
226,IPC,Crimes Against Women,Both,58,False,False,True,True,True,True,True,1,174
227,CrPC,Cyber Crime,Imprisonment,75,False,False,True,True,True,True,True,1,150
228,CrPC,Economic Offence,Imprisonment,57,False,True,True,False,True,False,False,1,114
229,PMLA,Cyber Crime,Imprisonment,23,True,False,False,True,False,True,False,2,46
230,NDPS,Crimes Against SCs and STs,Both,48,False,True,True,False,True,True,False,2,144
231,CrPC,Offences Against the State,Both,22,True,True,False,False,True,True,False,3,66
232,IPC,Cyber Crime,Fine,17,False,True,True,False,False,True,False,2,17
233,NDPS,Crimes Against Foreigners,Fine,69,False,True,True,True,False,False,False,1,69
234,NDPS,Cyber Crime,Both,108,True,True,False,True,False,True,False,3,324
235,IPC,Economic Offence,Both,11,True,False,True,True,True,False,False,1,33
236,CrPC,Economic Offence,Both,94,False,True,True,False,False,False,False,1,282
237,IPC,Crimes Against Women,Both,15,False,True,False,True,False,False,False,1,45
238,NDPS,Economic Offence,Fine,91,False,True,True,True,True,False,False,1,91
239,SCST Act,Crimes Against Children,Both,35,False,True,False,False,True,True,False,2,105
240,SCST Act,Crimes Against SCs and STs,Fine,33,True,False,False,False,False,False,False,1,33
241,PMLA,Crimes Against SCs and STs,Both,84,False,True,False,False,True,False,False,1,252
242,IPC,Offences Against the State,Both,16,True,False,False,False,False,False,False,1,48
243,IPC,Offences Against the State,Both,34,False,True,False,False,False,False,False,1,102
244,PMLA,Crimes Against SCs and STs,Fine,66,True,False,True,False,True,True,False,2,66
245,PMLA,Crimes Against Foreigners,Fine,99,True,True,True,True,False,True,False,3,99
246,PMLA,Offences Against the State,Imprisonment,40,False,True,True,False,True,False,False,1,80
247,NDPS,Crimes Against Women,Both,28,True,False,False,True,True,False,False,1,84
248,IPC,Economic Offence,Imprisonment,47,False,True,False,True,True,False,False,1,94
249,NDPS,Crimes Against SCs and STs,Imprisonment,39,True,False,False,True,False,True,False,2,78
250,PMLA,Offences Against the State,Fine,70,False,True,False,False,True,True,False,2,70
